,City,Country,Date,Lat,Lng,Humidity,Cloudiness,Wind Speed,Max Temp
75,puno,PE,2020-04-09 21:48:16,-15.83,-70.03,26,65,3.47,40.3
76,vanimo,PG,2020-04-09 21:48:16,-2.67,141.3,73,74,9.55,84.63
77,geraldton,AU,2020-04-09 21:48:16,-28.77,114.6,16,18,6.93,100.4
78,nikolskoye,RU,2020-04-09 21:48:16,59.7,30.79,69,13,11.18,37
79,yumen,CN,2020-04-09 21:48:17,40.28,97.2,17,0,27.96,56.97
80,nelson bay,AU,2020-04-09 21:48:17,-32.72,152.15,93,40,5.82,66.99
81,talnakh,RU,2020-04-09 21:48:17,69.49,88.4,92,90,38.03,23
82,taolanaro,,,,,,,,
83,zhaotong,CN,2020-04-09 21:48:18,27.32,103.72,23,53,3.83,68.68
84,aripuana,BR,2020-04-09 21:48:19,-9.17,-60.63,93,62,0.89,71.67
85,lieksa,FI,2020-04-09 21:48:19,63.32,30.02,90,91,5.08,29.93
86,knin,HR,2020-04-09 21:48:19,44.04,16.2,32,0,4.7,55.4
87,la rinconada,ES,2020-04-09 21:48:19,37.49,-5.98,93,40,3.36,60.01
88,axim,GH,2020-04-09 21:48:20,4.87,-2.24,86,0,5.44,80.28
89,mar del plata,AR,2020-04-09 21:46:36,-38,-57.56,93,75,5.44,53.6
90,bardiyah,LY,2020-04-09 21:48:21,31.76,25.09,62,0,17.31,58.32
91,oxford,GB,2020-04-09 21:45:11,51.75,-1.26,76,79,8.05,48.99
92,esperance,AU,2020-04-09 21:48:21,-33.87,121.9,60,8,12.75,75.2
93,egvekinot,RU,2020-04-09 21:48:21,66.32,-179.17,87,15,7.14,-2.6
94,juazeiro,BR,2020-04-09 21:48:22,-9.41,-40.5,71,93,1.45,76.66
95,isangel,VU,2020-04-09 21:48:22,-19.55,169.27,68,74,15.68,77.22
96,copacabana,CO,2020-04-09 21:48:22,6.35,-75.51,100,75,3.36,60.8
97,port alfred,ZA,2020-04-09 21:48:22,-33.59,26.89,51,98,6.93,74.28
98,okahandja,NA,2020-04-09 21:48:23,-21.98,16.92,77,45,2.24,62.01
99,stoyba,,,,,,,,
100,dikson,RU,2020-04-09 21:48:23,73.51,80.55,96,50,10.89,15.35
101,saleaula,,,,,,,,
102,leningradskiy,RU,2020-04-09 21:48:23,69.38,178.42,88,12,1.45,-5.24
103,timbiqui,CO,2020-04-09 21:48:24,2.77,-77.67,88,100,2.95,77.49
104,caala,AO,2020-04-09 21:48:24,-12.85,15.56,59,19,3.71,59.2
105,half moon bay,US,2020-04-09 21:48:02,37.46,-122.43,93,90,4.7,59
106,mecca,SA,2020-04-09 21:48:24,21.43,39.83,28,100,6.85,81.82
107,jamestown,US,2020-04-09 21:48:25,42.1,-79.24,92,90,18.16,37.4
108,narsaq,GL,2020-04-09 21:48:25,60.92,-46.05,32,100,21.92,39.2
109,atuona,PF,2020-04-09 21:48:25,-9.8,-139.03,76,81,15.3,82.36
110,richards bay,ZA,2020-04-09 21:48:25,-28.78,32.04,70,33,21.32,72.81
111,aswan,EG,2020-04-09 21:48:26,24.09,32.91,25,19,15.9,70.61
112,lanzhou,CN,2020-04-09 21:48:26,36.06,103.79,19,20,17.9,50
113,devonport,AU,2020-04-09 21:48:26,-41.17,146.35,76,98,7,66.99
114,fairbanks,US,2020-04-09 21:48:26,64.84,-147.72,41,1,5.82,24.8
115,turmalina,BR,2020-04-09 21:48:28,-17.29,-42.73,78,75,2.1,67.3
116,korla,CN,2020-04-09 21:48:29,41.76,86.15,17,53,18.19,67.06
117,davila,PH,2020-04-09 21:48:29,18.47,120.58,62,40,11.41,89.6
118,luderitz,NA,2020-04-09 21:48:29,-26.65,15.16,54,57,6.93,59
119,tsihombe,,,,,,,,
120,hermanus,ZA,2020-04-09 21:48:30,-34.42,19.23,88,85,1.01,60.01
121,bangolo,CI,2020-04-09 21:48:30,7.01,-7.47,86,88,1.28,71.55
122,khatanga,RU,2020-04-09 21:48:31,71.97,102.5,93,100,23.58,21.78
123,kathua,IN,2020-04-09 21:48:31,32.37,75.52,24,74,2.24,87.26
124,lebedyn,UA,2020-04-09 21:48:31,50.59,34.48,58,53,10.02,52.92
125,flin flon,CA,2020-04-09 21:48:31,54.77,-101.86,96,100,6.89,23.07
126,havre-saint-pierre,CA,2020-04-09 21:44:03,50.23,-63.6,85,1,4.41,23
127,vardo,NO,2020-04-09 21:48:32,70.37,31.11,88,69,21.18,28.71
128,bolotnoye,RU,2020-04-09 21:48:32,55.67,84.4,85,40,10.69,37.15
129,srednekolymsk,RU,2020-04-09 21:48:33,67.45,153.68,95,68,9.84,26.44
130,xichang,CN,2020-04-09 21:48:33,27.9,102.26,17,43,8.16,76.42
131,bur gabo,,,,,,,,
132,chapada dos guimaraes,BR,2020-04-09 21:48:34,-15.46,-55.75,73,7,5.82,77
133,kangaatsiaq,GL,2020-04-09 21:48:34,68.31,-53.46,84,0,9.48,23.63
134,ambon,ID,2020-04-09 21:48:34,-3.7,128.18,70,40,8.05,87.8
135,bilma,NE,2020-04-09 21:48:35,18.69,12.92,17,97,16.28,73.8
136,victor harbor,AU,2020-04-09 21:45:50,-35.57,138.62,52,75,9.17,70
137,zhuhai,CN,2020-04-09 21:48:35,22.28,113.57,78,20,13.87,81
138,chifeng,CN,2020-04-09 21:48:36,42.27,118.96,28,71,10.83,53.64
139,spiridonovka,RU,2020-04-09 21:48:36,53.09,50.65,42,13,20.13,46.4
140,pisco,PE,2020-04-09 21:48:37,-13.7,-76.22,88,40,2.24,73.4
141,simbahan,PH,2020-04-09 21:48:37,6.3,120.58,73,93,8.01,83.61
142,rancho palos verdes,US,2020-04-09 21:48:37,33.74,-118.39,81,90,5.82,53.6
143,quartz hill,US,2020-04-09 21:48:38,34.65,-118.22,93,90,6.93,51.8
144,ilulissat,GL,2020-04-09 21:48:38,69.22,-51.1,42,0,25.28,28.4
145,yellowknife,CA,2020-04-09 21:45:16,62.46,-114.35,85,90,10.29,21.2
146,parrita,CR,2020-04-09 21:48:38,9.52,-84.32,73,40,6.93,75.2
147,kavieng,PG,2020-04-09 21:48:39,-2.57,150.8,73,25,9.44,84.97
148,thompson,CA,2020-04-09 21:46:27,55.74,-97.86,66,20,4.16,10.4
149,kaitangata,NZ,2020-04-09 21:48:39,-46.28,169.85,79,8,1.41,55.6
150,severo-kurilsk,RU,2020-04-09 21:48:39,50.68,156.12,93,88,10.98,32.59
151,floro,NO,2020-04-09 21:48:40,61.6,5.03,74,80,6.93,36
152,chapais,CA,2020-04-09 21:48:40,49.78,-74.85,93,75,9.17,32
153,hofn,IS,2020-04-09 21:48:40,64.25,-15.21,86,100,12.82,34.84
154,taltal,CL,2020-04-09 21:48:41,-25.4,-70.48,78,28,1.57,62.6
155,walvis bay,NA,2020-04-09 21:48:41,-22.96,14.51,56,55,12.75,69.8
156,manggar,ID,2020-04-09 21:48:43,-2.88,108.27,66,78,3.18,85.75
157,cairns,AU,2020-04-09 21:43:57,-16.92,145.77,58,40,6.93,86
158,avera,US,2020-04-09 21:48:43,33.19,-82.53,42,1,9.17,71.6
159,lapeer,US,2020-04-09 21:48:44,43.05,-83.32,74,90,11.41,36
160,samusu,,,,,,,,
161,inirida,CO,2020-04-09 21:48:44,3.87,-67.92,95,100,2.59,73.85
162,carnarvon,AU,2020-04-09 21:48:45,-24.87,113.63,62,2,9.17,86
163,longyan,CN,2020-04-09 21:48:45,25.11,117.02,38,7,5.55,76.8
